func_ov000_021210e0 kind:function(arm,size=0x18) addr:0x021210e0
func_ov000_021210f8 kind:function(arm,size=0x4) addr:0x021210f8
func_ov000_021210fc kind:function(arm,size=0x118) addr:0x021210fc
func_ov000_02121214 kind:function(arm,size=0x2c) addr:0x02121214
func_ov000_02121240 kind:function(arm,size=0x28) addr:0x02121240
func_ov000_02121268 kind:function(arm,size=0x18) addr:0x02121268
func_ov000_02121280 kind:function(arm,size=0x4) addr:0x02121280
func_ov000_02121284 kind:function(arm,size=0x8) addr:0x02121284
func_ov000_0212128c kind:function(arm,size=0xc) addr:0x0212128c
func_ov000_02121298 kind:function(arm,size=0x4) addr:0x02121298
func_ov000_0212129c kind:function(arm,size=0x4) addr:0x0212129c
func_ov000_021212a0 kind:function(arm,size=0x4) addr:0x021212a0
func_ov000_021212a4 kind:function(arm,size=0x40) addr:0x021212a4
func_ov000_021212e4 kind:function(arm,size=0x1e0) addr:0x021212e4
func_ov000_021214c4 kind:function(arm,size=0x4c) addr:0x021214c4
func_ov000_02121510 kind:function(arm,size=0x4) addr:0x02121510
func_ov000_02121514 kind:function(arm,size=0x10) addr:0x02121514
func_ov000_02121524 kind:function(arm,size=0x44) addr:0x02121524
func_ov000_02121568 kind:function(arm,size=0x74) addr:0x02121568
func_ov000_021215dc kind:function(arm,size=0x2c) addr:0x021215dc
func_ov000_02121608 kind:function(arm,size=0x68) addr:0x02121608
func_ov000_02121670 kind:function(arm,size=0x50) addr:0x02121670
func_ov000_021216c0 kind:function(thumb,size=0x14) addr:0x021216c0
func_ov000_021216d4 kind:function(thumb,size=0xc) addr:0x021216d4
func_ov000_021216e0 kind:function(thumb,size=0x4) addr:0x021216e0
func_ov000_021216e4 kind:function(thumb,size=0x20) addr:0x021216e4
func_ov000_02121704 kind:function(thumb,size=0x20) addr:0x02121704
func_ov000_02121724 kind:function(arm,size=0x8) addr:0x02121724
func_ov000_0212172c kind:function(arm,size=0x60) addr:0x0212172c
func_ov000_0212178c kind:function(arm,size=0x354) addr:0x0212178c
func_ov000_02121ae0 kind:function(arm,size=0x178) addr:0x02121ae0
func_ov000_02121c58 kind:function(arm,size=0x58) addr:0x02121c58
func_ov000_02121cb0 kind:function(thumb,size=0x14) addr:0x02121cb0
func_ov000_02121cc4 kind:function(thumb,size=0xc) addr:0x02121cc4
func_ov000_02121cd0 kind:function(thumb,size=0x34) addr:0x02121cd0
func_ov000_02121d04 kind:function(thumb,size=0x1c) addr:0x02121d04
func_ov000_02121d20 kind:function(thumb,size=0x14) addr:0x02121d20
func_ov000_02121d34 kind:function(thumb,size=0xc) addr:0x02121d34
